,Unnamed: 0,locat,latlong
1,1,USA,"(39.7837304, -100.4458825)"
2,2,UK,"(54.7023545, -3.2765753)"
3,3,India,"(22.3511148, 78.6677428)"
4,4,Australia,"(-24.7761086, 134.755)"
5,5,Worldwide,"(52.4808348, -1.9142353)"
6,6,Africa,"(11.5024338, 17.7578122)"
7,7,"Lagos, Nigeria","(6.4550575, 3.3941795)"
8,8,Canada,"(61.0666922, -107.991707)"
9,9,"Melbourne, Victoria","(-37.8142176, 144.9631608)"
10,10,Philippines,"(12.7503486, 122.7312101)"
11,11,"Nairobi, Kenya","(-1.3031689499999999, 36.826061224105075)"
12,12,South Africa,"(-28.8166236, 24.991639)"
13,13,"Texas, USA","(31.8160381, -99.5120986)"
14,14,"New Delhi, India","(28.6138954, 77.2090057)"
15,15,Sydney,"(-33.8548157, 151.2164539)"
16,16,"Florida, USA","(27.7567667, -81.4639835)"
17,17,Republic of the Philippines,"(12.7503486, 122.7312101)"
18,18,Malaysia,"(4.5693754, 102.2656823)"
19,19,"Sydney, New South Wales","(-33.8548157, 151.2164539)"
20,20,"New York, USA","(40.7127281, -74.0060152)"
21,21,"Washington, DC","(38.8949924, -77.0365581)"
22,22,"Melbourne, Australia","(-37.8142176, 144.9631608)"
23,23,"Sydney, Australia","(-33.8548157, 151.2164539)"
24,24,England,"(52.5310214, -1.2649062)"
25,25,"Moes Tavern, Springfield","(44.0453797, -123.0202272)"
26,26,"Pennsylvania, USA","(40.9699889, -77.7278831)"
27,27,"Johannesburg, South Africa","(-26.205, 28.049722)"
28,28,Hong Kong,"(22.2793278, 114.1628131)"
29,29,"Portland, OR","(45.5202471, -122.6741949)"
30,30,"Perth, Western Australia","(-31.9527121, 115.8604796)"
31,31,"Bengaluru, India","(12.9791198, 77.5912997)"
32,32,"Manchester, England","(53.4794892, -2.2451148)"
33,33,"North Carolina, USA","(35.6729639, -79.0392919)"
34,34,"Toronto, Ontario","(43.6534817, -79.3839347)"
35,35,she/her,"(35.1172406, -89.9132695)"
36,36,"South East, England","(51.451019099999996, -0.9934914404975159)"
37,37,Planet Earth,"(41.1018669, -81.1515962)"
38,38,Ghana,"(8.0300284, -1.0800271)"
39,39,"Abuja, Nigeria","(9.0643305, 7.4892974)"
40,40,"Houston, TX","(29.7589382, -95.3676974)"
41,41,Singapore,"(1.357107, 103.8194992)"
42,42,Indonesia,"(-2.4833826, 117.8902853)"
43,43,"Accra, Ghana","(5.5571096, -0.2012376)"
44,44,"Cape Town, South Africa","(-33.928992, 18.417396)"
45,45,"Seattle, WA","(47.6038321, -122.3300624)"
46,46,"Las Vegas, NV","(36.1672559, -115.148516)"
47,47,"San Diego, CA","(32.7174202, -117.1627728)"
48,48,"Georgia, USA","(32.3293809, -83.1137366)"
49,49,"Pretoria, South Africa","(-25.7459374, 28.1879444)"
50,50,Global,"(43.7283874, -79.34914879325001)"
51,51,"Scotland, United Kingdom","(56.7861112, -4.1140518)"
52,52,"Hyderabad, India","(17.360589, 78.4740613)"
53,53,Melbourne,"(-37.8142176, 144.9631608)"
54,54,Pakistan,"(30.3308401, 71.247499)"
55,55,"Dublin, Ireland","(53.3497645, -6.2602732)"
56,56,"Bristol, England","(51.4538022, -2.5972985)"
57,57,"Paris, France","(48.8566969, 2.3514616)"
58,58,"Queensland, Australia","(-22.1646782, 144.5844903)"
59,59,Edinburgh,"(55.9533456, -3.1883749)"
60,60,"Brisbane, Queensland","(-27.4689682, 153.0234991)"
61,61,"Baltimore, MD","(39.2908816, -76.610759)"
62,62,Nairobi,"(-1.3031689499999999, 36.826061224105075)"
63,63,"Belfast, Northern Ireland","(54.5964411, -5.9302761)"
64,64,Scotland,"(56.7861112, -4.1140518)"
65,65,"Brooklyn, NY","(40.6501038, -73.9495823)"
66,66,"Sioux Falls, SD","(43.5460587, -96.7313928)"
67,67,"Bangkok, Thailand","(13.7544238, 100.4930399)"
68,68,Mumbai,"(19.0759899, 72.8773928)"
69,69,France,"(46.603354, 1.8883335)"
70,70,"Brisbane, Australia","(-27.4689682, 153.0234991)"
71,71,"Kampala, Uganda","(0.3177137, 32.5813539)"
72,72,Abuja,"(9.0643305, 7.4892974)"
73,73,"Ohio, USA","(40.2253569, -82.6881395)"
75,75,Twitter,"(1.2816838, 103.8499443)"
76,76,"New South Wales, Australia","(-31.8759835, 147.2869493)"
77,77,"Victoria, Australia","(-36.5986096, 144.6780052)"
78,78,"Illinois, USA","(40.0796606, -89.4337288)"
79,79,Islamic Republic of Iran,"(32.6475314, 54.5643516)"
80,80,New England,"(44.2057083, -70.75378387447887)"
81,81,"South West, England","(51.4742479, -0.12433969968085111)"
82,82,भारत,"(22.3511148, 78.6677428)"
83,83,Cape Town,"(-33.928992, 18.417396)"
84,84,Hell,"(42.4347571, -83.9849477)"
85,85,"Washington, USA","(38.8949924, -77.0365581)"
86,86,"Oxford, England","(51.7520131, -1.2578499)"
87,87,"Michigan, USA","(43.6211955, -84.6824346)"
88,88,"New Jersey, USA","(40.0757384, -74.4041622)"
89,89,Lagos,"(6.4550575, 3.3941795)"
90,90,Maldives,"(4.7064352, 73.3287853)"
91,91,Bangalore,"(12.9791198, 77.5912997)"
92,92,"Oregon, USA","(43.9792797, -120.737257)"
93,93,"Boston, MA","(42.3602534, -71.0582912)"
94,94,"Minnesota, USA","(45.9896587, -94.6113288)"
95,95,"Edinburgh, Scotland","(55.9533456, -3.1883749)"
96,96,Europe,"(51.0, 10.0)"
97,97,"West Midlands, England","(52.5050033, -1.964396123331272)"
98,98,"Alberta, Canada","(55.001251, -115.002136)"
99,99,"Puerto Rico, USA","(18.2214149, -66.41328179513847)"
100,100,"Cardiff, Wales","(51.4816546, -3.1791934)"
101,101,"East, England","(52.1994445, 0.1220898930123415)"
102,102,"Kerala, India","(10.3528744, 76.5120396)"
103,103,"Lahore, Pakistan","(31.5656822, 74.3141829)"
104,104,Lesotho,"(-29.6039267, 28.3350193)"
105,105,Dublin,"(53.3497645, -6.2602732)"
106,106,Huntsville  Alabama,"(34.729847, -86.5859011)"
107,107,"Vancouver, British Columbia","(49.2608724, -123.1139529)"
108,108,"Miami, FL","(25.7741728, -80.19362)"
109,109,"Islamabad, Pakistan","(33.6938118, 73.0651511)"
110,110,"Barling, AR.","(35.325647, -94.3016006)"
111,111,Port Harcourt,"(4.7676576, 7.0188527)"
112,112,"Cambridge, England","(52.2034823, 0.1235817)"
113,113,Ethiopia,"(10.2116702, 38.6521203)"
114,114,"St Louis, MO","(38.6529545, -90.24111656024635)"
115,115,"Nottingham, England","(52.9534193, -1.1496461)"
116,116,"State College, PA","(40.7944504, -77.8616386)"
117,117,Liverpool,"(53.4071991, -2.99168)"
118,118,Thailand,"(14.8971921, 100.83273)"
119,119,South Africa - KZN,"(-28.503833, 30.8875009)"
120,120,"Kolkata, India","(22.5726723, 88.3638815)"
121,121,"Ibadan, Nigeria","(7.3777462, 3.8972497)"
122,122,The Netherlands,"(52.5001698, 5.7480821)"
123,123,"New Orleans, LA","(29.9499323, -90.0701156)"
124,124,"Manila, Philippines","(14.5907332, 120.9809674)"
125,125,"San Antonio, TX","(29.4246002, -98.4951405)"
126,126,"Port Harcourt, Nigeria","(4.7676576, 7.0188527)"
127,127,Virginia,"(37.1232245, -78.4927721)"
128,128,Essex,"(51.77046785, 0.46466977412300386)"
129,129,New Zealand,"(-41.5000831, 172.8344077)"
130,130,"Louisiana, USA","(30.8703881, -92.007126)"
131,131,"Wales, United Kingdom","(52.2928116, -3.73893)"
132,132,"Sacramento, CA","(38.5810606, -121.493895)"
